,[0:0],[0:1],[0:2],[1:0],[1:1],[1:2],[2:0],[2:1],[2:2],Move
0,_,_,_,Y,X,_,Y,_,_,0
1,Y,_,X,X,Y,_,_,_,_,8
2,Y,_,X,X,X,Y,Y,_,_,1
3,X,Y,Y,Y,X,_,_,X,Y,5
4,Y,X,_,X,Y,_,_,_,_,8
5,_,_,_,_,_,_,_,_,_,0
6,_,_,_,_,_,_,_,_,_,0
7,_,_,_,_,_,_,Y,_,_,0
8,X,_,_,_,Y,_,_,_,_,2
9,X,_,_,X,Y,Y,Y,_,_,2
10,_,_,_,_,_,_,_,_,_,0
11,X,X,Y,Y,Y,X,X,_,Y,7
12,X,_,Y,Y,X,_,_,_,Y,7
13,X,_,Y,Y,Y,X,X,Y,_,1
14,_,_,_,_,_,_,_,_,_,0
15,Y,_,Y,_,X,_,X,_,_,1
16,_,_,_,_,_,_,_,_,_,0
17,_,_,_,_,_,_,_,_,Y,0
18,X,X,Y,Y,Y,X,X,_,Y,7
19,_,_,_,_,Y,_,_,_,_,0
20,Y,_,Y,Y,X,_,X,_,_,1
21,Y,_,_,_,_,_,_,_,_,4
22,X,Y,Y,Y,Y,X,X,_,_,7
23,_,_,_,_,_,_,_,_,_,0
24,_,_,_,_,_,_,_,_,_,0
25,Y,X,_,X,X,Y,Y,Y,_,8
26,_,_,_,Y,Y,X,X,X,Y,0
27,X,Y,_,Y,Y,X,X,_,_,7
28,X,_,_,_,Y,_,_,_,_,2
29,_,_,_,_,_,_,_,_,_,0
30,X,_,Y,_,Y,_,_,_,_,6
31,_,_,_,_,_,_,_,_,_,0
32,Y,_,Y,_,X,_,_,_,_,1
33,_,_,_,_,_,Y,_,_,_,0
34,X,Y,X,X,Y,_,Y,_,_,7
35,Y,_,Y,_,X,_,X,_,_,1
36,_,_,_,_,_,_,_,_,_,0
37,_,Y,_,X,Y,_,_,_,X,6
38,Y,X,Y,_,X,_,X,Y,_,5
39,_,_,_,_,_,_,_,_,_,0
40,Y,_,_,_,X,_,_,_,_,2
41,Y,X,_,_,X,_,Y,_,Y,3
42,X,_,_,_,Y,_,_,_,_,2
43,_,X,_,Y,X,_,_,Y,Y,2
44,X,_,_,_,Y,_,_,_,_,2
45,_,_,X,_,Y,_,_,_,_,0
46,Y,_,_,_,X,_,_,_,_,2
47,X,_,Y,Y,Y,X,X,Y,_,1
48,X,_,Y,_,Y,_,_,X,_,6
49,Y,_,X,X,X,Y,Y,_,_,1
50,X,Y,_,_,X,_,Y,_,Y,5
51,_,_,_,_,_,_,_,_,_,0
52,X,X,Y,Y,Y,X,X,_,Y,7
53,Y,_,Y,_,X,_,X,_,_,1
54,_,_,_,_,_,_,_,_,_,0
55,Y,Y,X,X,X,_,Y,_,_,5
56,X,Y,X,Y,Y,_,Y,X,_,5
57,X,Y,X,_,Y,Y,_,_,_,3
58,Y,X,Y,Y,X,_,X,Y,_,5
59,X,_,_,Y,Y,X,X,Y,_,1
60,X,_,Y,Y,Y,X,X,X,Y,1
61,Y,_,Y,_,X,_,_,_,_,1
62,Y,Y,_,_,X,_,_,_,_,2
63,X,_,Y,Y,Y,_,X,X,_,5
64,_,_,_,_,_,_,_,_,_,0
65,Y,X,_,X,X,Y,Y,Y,_,8
66,_,_,_,_,_,_,_,_,_,0
67,Y,X,Y,_,X,_,_,Y,_,3
68,Y,_,X,X,Y,_,_,_,_,8
69,X,_,_,_,Y,_,_,_,_,2
70,X,_,Y,Y,Y,_,X,_,_,5
71,Y,X,Y,Y,X,_,X,Y,_,5
72,Y,_,X,X,_,Y,Y,_,X,1
73,_,_,_,_,X,_,Y,Y,_,3
74,X,Y,X,Y,Y,X,_,X,Y,6
75,Y,X,Y,X,X,Y,X,Y,_,8
76,Y,_,X,_,_,_,_,_,_,4
77,Y,_,_,_,_,X,_,_,_,4
78,X,_,Y,Y,Y,_,X,_,_,5
79,Y,_,_,_,X,_,_,_,_,2
