[0:0],[0:1],[0:2],[1:0],[1:1],[1:2],[2:0],[2:1],[2:2],Move
_,_,_,_,_,_,_,_,_,4
_,_,_,_,Y,_,_,_,_,0
Y,_,_,_,X,_,_,_,_,2
X,_,Y,_,Y,_,_,_,_,6
Y,_,X,_,X,_,Y,_,_,3
X,_,Y,Y,Y,_,X,_,_,5
Y,_,X,X,X,Y,Y,_,_,7
X,_,Y,Y,Y,X,X,Y,_,1
Y,Y,X,X,X,Y,Y,X,_,8
_,_,_,_,_,_,_,_,_,4
_,_,_,_,Y,_,_,_,_,0
Y,_,_,_,X,_,_,_,_,1
X,Y,_,_,Y,_,_,_,_,6
Y,X,_,_,X,_,Y,_,_,3
X,Y,_,Y,Y,_,X,_,_,7
Y,X,_,X,X,_,Y,Y,_,5
_,_,_,_,_,_,_,_,_,1
_,Y,_,_,_,_,_,_,_,4
_,X,_,_,Y,_,_,_,_,2
_,Y,Y,_,X,_,_,_,_,0
Y,X,X,_,Y,_,_,_,_,8
X,Y,Y,_,X,_,_,_,Y,3
Y,X,X,Y,Y,_,_,_,X,5
_,_,_,_,_,_,_,_,_,0
Y,_,_,_,_,_,_,_,_,4
X,_,_,_,Y,_,_,_,_,1
Y,Y,_,_,X,_,_,_,_,2
X,X,Y,_,Y,_,_,_,_,6
Y,Y,X,_,X,_,Y,_,_,3
X,X,Y,Y,Y,_,X,_,_,5
Y,Y,X,X,X,Y,Y,_,_,8
X,X,Y,Y,Y,X,X,_,Y,7
_,_,_,_,_,_,_,_,_,0
Y,_,_,_,_,_,_,_,_,4
X,_,_,_,Y,_,_,_,_,1
Y,Y,_,_,X,_,_,_,_,2
X,X,Y,_,Y,_,_,_,_,6
Y,Y,X,_,X,_,Y,_,_,3
X,X,Y,Y,Y,_,X,_,_,5
Y,Y,X,X,X,Y,Y,_,_,7
X,X,Y,Y,Y,X,X,Y,_,8
_,_,_,_,_,_,_,_,_,4
_,_,_,_,Y,_,_,_,_,0
